"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"21185",NA,5,"9","1","1","5",1,343.602
"21186",NA,5,"9","1","1","6",1,611.084
"21187",NA,5,"9","1","1","7",1,58.671
"21188",NA,5,"9","2","1","3",2,98.293
"21189",NA,5,"9","2","1","5",1,72.007
"21190",NA,5,"9","3","2","6",1,82.322
"21191",NA,5,"9","3","3","3",1,114.769
"21192",NA,5,"9","3","3","4",1,202.269
"21193",NA,5,"9","3","3","5",1,792.34
"21194",NA,5,"9","3","3","5",2,228.375
"21195",NA,5,"9","3","3","6",1,14.84
"21196",NA,5,"9","4","2","2",1,3509.167
"21197",NA,5,"9","4","2","2",2,2954.365
"21198",NA,5,"9","4","2","3",1,16839.871
"21199",NA,5,"9","4","2","3",2,7356.753
"21200",NA,5,"9","4","2","4",1,11407.543
"21201",NA,5,"9","4","2","4",2,11316.951
"21202",NA,5,"9","4","2","5",1,10302.734
"21203",NA,5,"9","4","2","5",2,8277.302
"21204",NA,5,"9","4","2","6",1,2866.244
"21205",NA,5,"9","4","2","6",2,1454.8
"21206",NA,5,"9","4","2","7",1,722.237
"21207",NA,5,"9","4","2","7",2,117.556
"21208",NA,5,"9","4","3","2",1,4655.046
"21209",NA,5,"9","4","3","2",2,1441.652
"21210",NA,5,"9","4","3","3",1,7362.039
"21211",NA,5,"9","4","3","3",2,4431.634
"21212",NA,5,"9","4","3","4",1,4985.058
"21213",NA,5,"9","4","3","4",2,4503.735
"21214",NA,5,"9","4","3","5",1,4794.633
"21215",NA,5,"9","4","3","5",2,2232.242
"21216",NA,5,"9","4","3","6",1,1587.011
"21217",NA,5,"9","4","3","6",2,281.569
"21218",NA,5,"9","4","3","7",1,155.957
"21219",NA,5,"9","5","3","1",1,79.618
"21220",NA,5,"9","5","3","2",1,2013.277
"21221",NA,5,"9","5","3","2",2,666.507
"21222",NA,5,"9","5","3","3",1,7075.452
"21223",NA,5,"9","5","3","3",2,4387.503
