"","IndustryGroup","JobGroup","RiskGroup","V20","V21","sum_Employment"
"3383","8","3","3",511,312,9127.357
"3384","8","3","3",511,313,297.8
"3385","8","3","3",512,312,184.253
"3386","8","3","3",512,313,458.795
"3387","8","3","3",521,312,40917.196
"3388","8","3","3",521,313,3882.473
"3389","8","3","3",521,314,329.737
"3390","8","3","3",521,330,200.912
"3391","8","3","3",521,399,103.009
"3392","8","3","3",529,312,46684.831
"3393","8","3","3",529,313,7569.594
"3394","8","3","3",529,314,1733.433
"3395","8","3","3",529,399,2387.959
"3396","8","4","1",511,411,170.013
"3397","8","4","1",529,411,52.427
"3398","8","4","2",491,431,3348.665
"3399","8","4","2",492,431,2359.741
"3400","8","4","2",492,432,77.18
"3401","8","4","2",492,441,740.666
"3402","8","4","2",495,412,59.915
"3403","8","4","2",501,431,91.794
"3404","8","4","2",501,441,203.244
"3405","8","4","2",511,431,11421.22
"3406","8","4","2",511,441,243.513
"3407","8","4","2",521,441,64.166
"3408","8","4","2",529,412,2896.299
"3409","8","4","2",529,431,113.134
"3410","8","4","2",529,441,195.134
"3411","8","5","2",493,510,821.905
"3412","8","5","2",494,510,201.916
"3413","8","5","2",521,510,433.998
"3414","8","5","2",529,510,389.011
"3415","8","5","3",491,521,893.646
"3416","8","5","3",492,521,325.569
"3417","8","5","3",493,530,129.079
"3418","8","5","3",501,521,345.819
"3419","8","5","3",502,521,59.306
"3420","8","5","3",511,521,2963.246
"3421","8","5","3",521,521,79.868
"3422","8","5","3",529,521,8742.22
"3423","8","7","1",491,762,183.412
"3424","8","7","1",492,762,998.74
"3425","8","7","1",529,762,401.832
"3426","8","7","2",491,752,3978.938
"3427","8","7","2",491,753,462.291
"3428","8","7","2",491,761,382.166
"3429","8","7","2",491,774,3990.177
"3430","8","7","2",492,751,8498.27
"3431","8","7","2",492,752,7413.961
"3432","8","7","2",492,761,248.013
"3433","8","7","2",492,774,887.85
"3434","8","7","2",492,799,131.721
"3435","8","7","2",493,751,93.21
"3436","8","7","2",493,761,100.491
"3437","8","7","2",494,751,191.188
"3438","8","7","2",494,753,31.025
"3439","8","7","2",495,753,182.058
"3440","8","7","2",501,752,382.47
"3441","8","7","2",502,752,247.164
"3442","8","7","2",511,752,5492.078
