"","V20","EduGroup","RiskGroup","sum_Employment"
"650",212,7,"1",1362.185
"651",213,0,"2",70.804
"652",213,1,"2",291.065
"653",213,2,"2",302.001
"654",213,3,"2",900.287
"655",213,3,"3",816.049
"656",213,4,"2",475.358
"657",213,4,"3",82.646
"658",213,5,"1",158.867
"659",213,5,"2",337.062
"660",213,5,"3",889.561
"661",213,6,"1",175.066
"662",213,6,"3",227.709
"663",213,7,"1",255.533
"664",221,0,"2",130.11
"665",221,1,"2",740.074
"666",221,1,"3",875.053
"667",221,2,"2",998.87
"668",221,2,"3",2721.81
"669",221,3,"1",226.57
"670",221,3,"2",3867.213
"671",221,3,"3",17285.426
"672",221,4,"1",447.238
"673",221,4,"2",645.883
"674",221,4,"3",8307.118
"675",221,5,"1",2157.49
"676",221,5,"2",1302.655
"677",221,5,"3",9757.76
"678",221,6,"1",339.666
"679",221,6,"3",150.76
"680",222,0,"2",394.001
"681",222,1,"2",2609.513
"682",222,1,"3",4073.29
"683",222,2,"2",8297.531
"684",222,2,"3",13662.125
"685",222,3,"1",129.699
"686",222,3,"2",30482.743
"687",222,3,"3",76268.194
"688",222,4,"1",790.831
"689",222,4,"2",5211.374
"690",222,4,"3",23214.847
"691",222,5,"1",7184.391
"692",222,5,"2",6819.846
"693",222,5,"3",33004.749
"694",222,6,"1",774.114
"695",222,6,"3",2260.144
"696",231,1,"2",523.115
"697",231,1,"3",272.98
"698",231,2,"2",574.632
"699",231,2,"3",1751.502
"700",231,3,"1",41.901
"701",231,3,"2",3416.086
"702",231,3,"3",9782.626
"703",231,4,"1",262.405
"704",231,4,"2",1121.478
"705",231,4,"3",3951.289
"706",231,5,"1",1249.418
"707",231,5,"2",2282.355
"708",231,5,"3",5872.652
"709",231,6,"1",409.225
"710",231,6,"2",59.741
"711",231,6,"3",238.653
"712",231,7,"2",42.481
"713",232,1,"1",330.97
"714",232,1,"2",894.579
"715",232,1,"3",526.952
"716",232,2,"2",1115.923
"717",232,2,"3",1175.427
"718",232,3,"1",33.141
"719",232,3,"2",3683.412
"720",232,3,"3",5808.224
"721",232,4,"2",1874.927
"722",232,4,"3",1189.115
"723",232,5,"1",951.579
"724",232,5,"2",2576.634
"725",232,5,"3",2537.406
"726",232,6,"1",26.179
"727",232,6,"2",929.411
"728",232,7,"2",19.285
"729",232,7,"3",21.819
"730",233,0,"2",20.114
"731",233,1,"2",1069.76
"732",233,1,"3",604.091
"733",233,2,"2",3523.498
"734",233,2,"3",871.002
"735",233,3,"1",311.761
"736",233,3,"2",9574.466
"737",233,3,"3",8800.195
"738",233,4,"1",127.807
"739",233,4,"2",1278.396
"740",233,4,"3",5584.316
"741",233,5,"1",448.53
"742",233,5,"2",3507.933
"743",233,5,"3",7920.179
"744",233,6,"1",399.401
"745",233,6,"2",319.612
"746",233,6,"3",409.817
"747",239,0,"3",86.427
"748",239,1,"2",787.948
"749",239,1,"3",698.273
"750",239,2,"2",1186.116
"751",239,2,"3",757.061
"752",239,3,"1",96.32
"753",239,3,"2",4052.728
"754",239,3,"3",8064.852
"755",239,4,"1",215.088
"756",239,4,"2",571.727
"757",239,4,"3",2842.464
"758",239,5,"1",1284.468
"759",239,5,"2",1398.635
"760",239,5,"3",3474.033
"761",239,6,"1",241.228
"762",239,6,"3",82.884
"763",241,1,"2",830.344
"764",241,1,"3",1647.502
"765",241,2,"2",1633.866
"766",241,2,"3",2528.345
"767",241,3,"1",544.819
"768",241,3,"2",7333.019
"769",241,3,"3",32721.479
"770",241,4,"1",1182.191
"771",241,4,"2",2766.088
"772",241,4,"3",21520.488
"773",241,5,"1",3379.607
"774",241,5,"2",3598.244
"775",241,5,"3",20251.478
"776",241,6,"1",683.627
"777",241,6,"2",239.117
"778",241,6,"3",1470.17
"779",241,7,"1",49.776
"780",242,0,"2",69.759
"781",242,1,"2",244.815
"782",242,1,"3",429.787
"783",242,2,"2",806.558
"784",242,2,"3",1042.184
"785",242,3,"1",173.047
"786",242,3,"2",3024.837
"787",242,3,"3",13265.737
"788",242,4,"1",130.684
"789",242,4,"2",716.834
"790",242,4,"3",4747.811
"791",242,5,"1",1532.625
"792",242,5,"2",1097.614
"793",242,5,"3",6658.7
"794",242,6,"2",44.593
"795",243,0,"3",54.765
"796",243,1,"2",244.053
"797",243,1,"3",715.848
"798",243,2,"2",410.837
"799",243,2,"3",1589.991
"800",243,3,"1",400.539
"801",243,3,"2",2765.545
"802",243,3,"3",3800.65
"803",243,4,"1",314.467
"804",243,4,"2",521.066
"805",243,4,"3",768.237
"806",243,5,"1",816.845
"807",243,5,"2",1093.524
"808",243,5,"3",955.543
"809",243,6,"2",207.407
"810",251,1,"2",767.536
"811",251,1,"3",2192.766
"812",251,2,"2",663.57
"813",251,2,"3",8085.967
"814",251,3,"1",1646.932
"815",251,3,"2",6831.479
"816",251,3,"3",41523.451
"817",251,4,"1",1808.859
"818",251,4,"2",2388.235
"819",251,4,"3",14220.935
"820",251,5,"1",4310.303
"821",251,5,"2",2802.02
"822",251,5,"3",13426.027
"823",251,6,"1",788.584
"824",251,6,"2",293.403
"825",251,6,"3",586.759
"826",251,7,"1",100.218
"827",251,7,"3",153.442
"828",252,3,"1",40.4
"829",252,3,"2",289.768
"830",252,3,"3",1375.52
"831",252,4,"2",149.224
"832",252,4,"3",3550.256
"833",252,5,"1",1458.261
"834",252,5,"2",81.175
"835",252,5,"3",2149.308
"836",252,6,"1",331.128
"837",252,6,"3",230.152
"838",259,0,"3",784.94
"839",259,1,"2",2983.519
"840",259,1,"3",6211.082
"841",259,2,"2",7049.727
"842",259,2,"3",17358.964
"843",259,3,"1",983.625
"844",259,3,"2",23738.379
"845",259,3,"3",114625.179
"846",259,4,"1",1617.887
"847",259,4,"2",4781.406
"848",259,4,"3",36877.698
"849",259,5,"1",4433.689
"850",259,5,"2",7253.148
"851",259,5,"3",38717.264
"852",259,6,"1",895.111
"853",259,6,"2",937.193
"854",259,6,"3",1579.54
"855",259,7,"2",136.593
"856",261,1,"3",176.087
"857",261,2,"2",938.157
"858",261,2,"3",281.539
"859",261,3,"1",719.224
"860",261,3,"2",4183.619
"861",261,3,"3",24017.468
"862",261,4,"1",1901.49
"863",261,4,"2",3303.423
"864",261,4,"3",18398.953
"865",261,5,"1",18927.949
"866",261,5,"2",4445.374
"867",261,5,"3",20373.155
"868",261,6,"1",7536.461
"869",261,6,"2",332.943
"870",261,6,"3",1520.071
"871",261,7,"1",1830.076
"872",261,7,"3",157.488
"873",262,0,"3",228.66
"874",262,1,"2",339.832
"875",262,1,"3",1334.276
"876",262,2,"2",1754.396
"877",262,2,"3",3794.53
"878",262,3,"1",2517.447
"879",262,3,"2",12308.685
"880",262,3,"3",76735.721
"881",262,4,"1",3552.694
"882",262,4,"2",6393.875
"883",262,4,"3",35491.489
"884",262,5,"1",17793.506
"885",262,5,"2",7069.766
"886",262,5,"3",39263.972
"887",262,6,"1",5493.253
"888",262,6,"2",516.874
"889",262,6,"3",2535.213
"890",262,7,"1",1537.836
"891",262,7,"2",95.867
"892",262,7,"3",222.538
"893",263,1,"3",244.129
"894",263,2,"2",122.583
"895",263,3,"2",746.642
"896",263,3,"3",2290.905
"897",263,4,"1",356.136
"898",263,4,"2",314.526
"899",263,4,"3",2081.093
"900",263,5,"1",3763.273
"901",263,5,"2",1203.095
"902",263,5,"3",3137.289
"903",263,6,"1",740.662
"904",263,6,"2",240.14
"905",263,6,"3",234.511
"906",264,1,"2",189.683
"907",264,1,"3",295.186
"908",264,2,"2",1414.093
"909",264,2,"3",1489.311
"910",264,3,"1",397.317
"911",264,3,"2",6788.105
"912",264,3,"3",30782.525
"913",264,4,"1",1574.941
"914",264,4,"2",3606.772
"915",264,4,"3",11965.333
"916",264,5,"1",12356.736
"917",264,5,"2",3090.837
"918",264,5,"3",16377.69
"919",264,6,"1",3980.365
"920",264,6,"2",310.418
"921",264,6,"3",1950.268
